Month,Account Code,Account Name,Amount,Category,Department
Jan 2026,5100,Salaries - Engineering,385000,Headcount,Information Technology
Jan 2026,5200,Benefits - Engineering,92400,Headcount,Information Technology
Jan 2026,6200,Software Licenses,28000,Software,Information Technology
Jan 2026,6210,GitHub Enterprise,3500,Software,Information Technology
Jan 2026,6215,AI Tool Licenses - Copilot,2800,AI Tools,Information Technology
Jan 2026,6350,Contractors - Engineering,35000,Professional Fees,Information Technology
Jan 2026,6410,Cloud Infrastructure (AWS),85000,Infrastructure,Information Technology
Jan 2026,6420,Monitoring & Logging Tools,4200,Software,Information Technology
Jan 2026,6500,Training & Development,5000,Training,Information Technology
Jan 2026,6600,Travel,4500,Travel,Information Technology
Feb 2026,5100,Salaries - Engineering,385000,Headcount,Information Technology
Feb 2026,5200,Benefits - Engineering,92400,Headcount,Information Technology
Feb 2026,6200,Software Licenses,28000,Software,Information Technology
Feb 2026,6210,GitHub Enterprise,3500,Software,Information Technology
Feb 2026,6215,AI Tool Licenses - Copilot,3200,AI Tools,Information Technology
Feb 2026,6350,Contractors - Engineering,32000,Professional Fees,Information Technology
Feb 2026,6410,Cloud Infrastructure (AWS),88000,Infrastructure,Information Technology
Feb 2026,6420,Monitoring & Logging Tools,4200,Software,Information Technology
Feb 2026,6500,Training & Development,8000,Training,Information Technology
Feb 2026,6600,Travel,3800,Travel,Information Technology
Mar 2026,5100,Salaries - Engineering,395000,Headcount,Information Technology
Mar 2026,5200,Benefits - Engineering,94800,Headcount,Information Technology
Mar 2026,6200,Software Licenses,28500,Software,Information Technology
Mar 2026,6210,GitHub Enterprise,3500,Software,Information Technology
Mar 2026,6215,AI Tool Licenses - Copilot,3500,AI Tools,Information Technology
Mar 2026,6216,Claude API,2800,AI Tools,Information Technology
Mar 2026,6350,Contractors - Engineering,28000,Professional Fees,Information Technology
Mar 2026,6410,Cloud Infrastructure (AWS),91000,Infrastructure,Information Technology
Mar 2026,6420,Monitoring & Logging Tools,4200,Software,Information Technology
Mar 2026,6500,Training & Development,12000,Training,Information Technology
Mar 2026,6600,Travel,5200,Travel,Information Technology
Apr 2026,5100,Salaries - Engineering,395000,Headcount,Information Technology
Apr 2026,5200,Benefits - Engineering,94800,Headcount,Information Technology
Apr 2026,6200,Software Licenses,29000,Software,Information Technology
Apr 2026,6210,GitHub Enterprise,3500,Software,Information Technology
Apr 2026,6215,AI Tool Licenses - Copilot,3500,AI Tools,Information Technology
Apr 2026,6216,Claude API,3500,AI Tools,Information Technology
Apr 2026,6350,Contractors - Engineering,25000,Professional Fees,Information Technology
Apr 2026,6410,Cloud Infrastructure (AWS),89000,Infrastructure,Information Technology
Apr 2026,6420,Monitoring & Logging Tools,4500,Software,Information Technology
Apr 2026,6500,Training & Development,6000,Training,Information Technology
Apr 2026,6600,Travel,6800,Travel,Information Technology
